"['A','♥']",2,"[['0.52', '0.46'], ['0.52', '0.61']]"
"['A','♦']",4,"[['0.66', '0.52'], ['0.52', '0.43'], ['0.37', '0.52'], ['0.51', '0.61']]"
"['2','♥']",5,"[['0.53', '0.13'], ['0.52', '0.28'], ['0.50', '0.75'], ['0.49', '0.89'], ['0.67', '0.98']]"
"['A','♣']",6,"[['0.48', '0.60'], ['0.56', '0.60'], ['0.55', '0.52'], ['0.49', '0.52'], ['0.51', '0.55'], ['0.54', '0.55']]"
"['3','♥']",6,"[['0.49', '0.90'], ['0.51', '0.61'], ['0.52', '0.29'], ['0.52', '0.46'], ['0.53', '0.14'], ['0.50', '0.75']]"
"['2','♦']",8,"[['0.50', '0.74'], ['0.37', '0.20'], ['0.35', '0.83'], ['0.66', '0.20'], ['0.51', '0.29'], ['0.49', '0.91'], ['0.52', '0.11'], ['0.63', '0.83']]"
"['4','♥']",8,"[['0.87', '0.14'], ['0.84', '0.75'], ['0.16', '0.76'], ['0.15', '0.91'], ['0.87', '0.29'], ['0.84', '0.90'], ['0.18', '0.13'], ['0.17', '0.29']]"
"['2','♠']",10,"[['0.55', '0.29'], ['0.53', '0.11'], ['0.54', '0.74'], ['0.48', '0.74'], ['0.49', '0.29'], ['0.50', '0.92'], ['0.54', '0.24'], ['0.51', '0.24'], ['0.52', '0.80'], ['0.49', '0.80']]"
"['5','♥']",10,"[['0.51', '0.61'], ['0.52', '0.46'], ['0.87', '0.29'], ['0.87', '0.14'], ['0.84', '0.75'], ['0.16', '0.75'], ['0.16', '0.91'], ['0.19', '0.13'], ['0.18', '0.29'], ['0.83', '0.89']]"
"['2','♣']",12,"[['0.60', '0.75'], ['0.58', '0.27'], ['0.50', '0.27'], ['0.53', '0.76'], ['0.50', '0.18'], ['0.57', '0.18'], ['0.60', '0.84'], ['0.54', '0.84'], ['0.52', '0.21'], ['0.55', '0.21'], ['0.58', '0.81'], ['0.54', '0.81']]"
"['3','♦']",12,"[['0.36', '0.52'], ['0.51', '0.43'], ['0.50', '0.74'], ['0.65', '0.52'], ['0.37', '0.20'], ['0.53', '0.11'], ['0.51', '0.29'], ['0.50', '0.60'], ['0.49', '0.91'], ['0.35', '0.83'], ['0.63', '0.83'], ['0.66', '0.20']]"
"['6','♥']",12,"[['0.85', '0.61'], ['0.85', '0.46'], ['0.16', '0.76'], ['0.18', '0.13'], ['0.84', '0.75'], ['0.87', '0.14'], ['0.17', '0.46'], ['0.16', '0.61'], ['0.86', '0.29'], ['0.84', '0.90'], ['0.17', '0.29'], ['0.15', '0.91']]"
"['4','♦']",14,"[['0.87', '0.12'], ['0.14', '0.75'], ['0.14', '0.93'], ['0.87', '0.30'], ['0.84', '0.75'], ['0.97', '0.83'], ['0.83', '0.92'], ['0.17', '0.11'], ['0.29', '0.84'], ['0.73', '0.21'], ['0.16', '0.29'], ['0.69', '0.83'], ['0.31', '0.21'], ['0.02', '0.20']]"
"['7','♥']",14,"[['0.86', '0.29'], ['0.85', '0.61'], ['0.52', '0.45'], ['0.16', '0.76'], ['0.15', '0.91'], ['0.84', '0.75'], ['0.53', '0.30'], ['0.86', '0.46'], ['0.17', '0.61'], ['0.18', '0.13'], ['0.83', '0.90'], ['0.17', '0.46'], ['0.87', '0.14'], ['0.18', '0.29']]"
"['3','♠']",15,"[['0.46', '0.74'], ['0.47', '0.60'], ['0.48', '0.29'], ['0.54', '0.60'], ['0.55', '0.29'], ['0.53', '0.74'], ['0.49', '0.91'], ['0.52', '0.11'], ['0.49', '0.55'], ['0.51', '0.43'], ['0.52', '0.55'], ['0.50', '0.23'], ['0.53', '0.23'], ['0.48', '0.80'], ['0.51', '0.80']]"
"['8','♥']",16,"[['0.19', '0.75'], ['0.88', '0.60'], ['0.88', '0.45'], ['0.54', '0.59'], ['0.19', '0.90'], ['0.88', '0.29'], ['0.19', '0.46'], ['0.88', '0.73'], ['0.54', '0.74'], ['0.88', '0.14'], ['0.19', '0.29'], ['0.54', '0.29'], ['0.19', '0.61'], ['0.18', '0.14'], ['0.87', '0.88'], ['0.54', '0.45']]"
"['3','♣']",18,"[['0.55', '0.61'], ['0.48', '0.61'], ['0.48', '0.76'], ['0.55', '0.76'], ['0.49', '0.19'], ['0.48', '0.28'], ['0.56', '0.28'], ['0.55', '0.52'], ['0.49', '0.52'], ['0.56', '0.19'], ['0.54', '0.85'], ['0.51', '0.22'], ['0.48', '0.85'], ['0.50', '0.55'], ['0.54', '0.55'], ['0.54', '0.22'], ['0.49', '0.82'], ['0.53', '0.82']]"
"['5','♦']",19,"[['0.67', '0.51'], ['0.86', '0.28'], ['0.53', '0.60'], ['0.19', '0.92'], ['0.88', '0.73'], ['0.15', '0.11'], ['0.85', '0.10'], ['0.52', '0.42'], ['0.88', '0.90'], ['0.19', '0.74'], ['0.74', '0.82'], ['0.71', '0.20'], ['0.05', '0.84'], ['0.38', '0.52'], ['0.31', '0.20'], ['1.00', '0.19'], ['0.01', '0.20'], ['0.16', '0.29'], ['0.34', '0.83']]"
"['9','♥']",19,"[['0.88', '0.53'], ['0.88', '0.34'], ['0.88', '0.28'], ['0.88', '0.49'], ['0.19', '0.28'], ['0.19', '0.54'], ['0.19', '0.75'], ['0.19', '0.69'], ['0.54', '0.45'], ['0.88', '0.13'], ['0.19', '0.35'], ['0.54', '0.60'], ['0.19', '0.13'], ['0.88', '0.67'], ['0.19', '0.50'], ['0.86', '0.88'], ['0.88', '0.73'], ['0.18', '0.90'], ['0.14', '0.71']]"
"['4','♠']",20,"[['0.84', '0.30'], ['0.82', '0.74'], ['0.88', '0.12'], ['0.21', '0.29'], ['0.18', '0.11'], ['0.90', '0.30'], ['0.14', '0.29'], ['0.86', '0.24'], ['0.19', '0.75'], ['0.15', '0.93'], ['0.88', '0.74'], ['0.89', '0.24'], ['0.12', '0.75'], ['0.84', '0.92'], ['0.19', '0.24'], ['0.16', '0.24'], ['0.83', '0.80'], ['0.13', '0.81'], ['0.86', '0.80'], ['0.17', '0.81']]"
"['10','♥']",20,"[['0.87', '0.53'], ['0.87', '0.49'], ['0.53', '0.64'], ['0.18', '0.69'], ['0.86', '0.88'], ['0.87', '0.68'], ['0.53', '0.79'], ['0.17', '0.50'], ['0.87', '0.13'], ['0.17', '0.35'], ['0.53', '0.39'], ['0.17', '0.29'], ['0.17', '0.13'], ['0.18', '0.54'], ['0.53', '0.24'], ['0.86', '0.74'], ['0.87', '0.34'], ['0.87', '0.29'], ['0.18', '0.90'], ['0.18', '0.75']]"
"['6','♦']",22,"[['0.70', '0.52'], ['0.73', '0.21'], ['0.16', '0.43'], ['0.86', '0.30'], ['0.15', '0.60'], ['0.82', '0.74'], ['0.98', '0.52'], ['0.84', '0.60'], ['0.85', '0.43'], ['0.12', '0.92'], ['0.88', '0.12'], ['0.81', '0.91'], ['0.96', '0.82'], ['0.32', '0.20'], ['0.17', '0.28'], ['0.14', '0.74'], ['0.18', '0.11'], ['0.01', '0.51'], ['0.67', '0.83'], ['0.27', '0.83'], ['0.30', '0.51'], ['0.03', '0.19']]"
"['4','♣']",24,"[['0.88', '0.27'], ['0.78', '0.75'], ['0.86', '0.75'], ['0.23', '0.27'], ['0.87', '0.19'], ['0.13', '0.76'], ['0.21', '0.76'], ['0.14', '0.27'], ['0.81', '0.19'], ['0.80', '0.27'], ['0.21', '0.18'], ['0.15', '0.18'], ['0.84', '0.83'], ['0.78', '0.83'], ['0.20', '0.21'], ['0.20', '0.84'], ['0.86', '0.21'], ['0.17', '0.21'], ['0.82', '0.22'], ['0.18', '0.81'], ['0.13', '0.85'], ['0.80', '0.81'], ['0.83', '0.81'], ['0.15', '0.81']]"
"['5','♠']",25,"[['0.18', '0.29'], ['0.80', '0.74'], ['0.16', '0.10'], ['0.83', '0.91'], ['0.53', '0.61'], ['0.50', '0.43'], ['0.86', '0.11'], ['0.46', '0.61'], ['0.10', '0.74'], ['0.89', '0.29'], ['0.82', '0.29'], ['0.12', '0.29'], ['0.87', '0.74'], ['0.88', '0.23'], ['0.48', '0.55'], ['0.82', '0.79'], ['0.17', '0.23'], ['0.17', '0.74'], ['0.52', '0.55'], ['0.85', '0.23'], ['0.14', '0.23'], ['0.85', '0.79'], ['0.13', '0.92'], ['0.15', '0.80'], ['0.12', '0.80']]"
"['7','♦']",26,"[['0.72', '0.52'], ['0.86', '0.61'], ['0.34', '0.21'], ['0.83', '0.91'], ['0.15', '0.92'], ['0.88', '0.30'], ['0.54', '0.28'], ['0.98', '0.83'], ['0.87', '0.44'], ['0.89', '0.13'], ['0.30', '0.83'], ['0.20', '0.11'], ['0.84', '0.74'], ['0.16', '0.75'], ['0.53', '0.46'], ['0.39', '0.37'], ['0.18', '0.43'], ['0.17', '0.61'], ['0.75', '0.21'], ['0.19', '0.29'], ['0.03', '0.52'], ['0.70', '0.83'], ['0.68', '0.37'], ['0.01', '0.84'], ['0.32', '0.52'], ['0.05', '0.20']]"
